date	Stock	Open	Low	Close	Volume	30_day_MA	60_day_MA	90_day_MA	30_day_MA	60_day_MA	90_day_MA	SMA_30	SMA_60	SMA_90	EMA_30	EMA_60	EMA_90	RSI	EMA_12	EMA_26	MACD	Signal_Line	MACD_Histogram	Price_Change_Pct	Article Length	article_sentiment
4/9/2019	MSFT	119.5400009	118.5800018	119.2799988	17612000	116.5650004	110.6788335	109.6182222	116.5650004	110.6788335	109.6182222	116.5650004	110.6788335	109.6182222	116.5856957	113.4581072	111.6819005	42.41933142	119.2145784	117.1795877	2.034990637	2.391006173	-0.356015536	-0.541984094	1076	4
4/10/2019	MSFT	120.3499985	119.5400009	120.1900024	16477200	116.8463338	110.9491669	109.7581111	116.8463338	110.9491669	109.7581111	116.8463338	110.9491669	109.7581111	116.8182316	113.6788251	111.8688917	73.74997218	119.3646436	117.4025814	1.962062196	2.305217377	-0.343155181	0.762913876	1455	1
4/10/2019	MSFT	120.3499985	119.5400009	120.1900024	16477200	117.1276672	111.2241669	109.8980001	117.1276672	111.2241669	109.8980001	117.1276672	111.2241669	109.8980001	117.0357652	113.8923063	112.0517733	73.58488454	119.4916219	117.609057	1.882564846	2.220686871	-0.338122025	0.762913876	689	3
4/12/2019	MSFT	120.9800034	120.3700027	120.9499969	19745100	117.4796672	111.5118334	110.0085556	117.4796672	111.5118334	110.0085556	117.4796672	111.5118334	110.0085556	117.2882963	114.123706	112.2473386	71.68537438	119.7159873	117.8565341	1.85945321	2.148440139	-0.288986929	0.515245664	600	2
4/15/2019	MSFT	121.5800018	120.5699997	121.0500031	15792600	117.8350006	111.8011668	110.1480001	117.8350006	111.8011668	110.1480001	117.8350006	111.8011668	110.1480001	117.5309871	114.3507977	112.4408038	71.23286001	119.9212205	118.0930873	1.828133147	2.084378741	-0.256245594	0.082683841	803	4
4/22/2019	MSFT	124	122.5699997	123.7600021	15648700	118.2806674	112.1356668	110.3175557	118.2806674	112.1356668	110.3175557	118.2806674	112.1356668	110.3175557	117.932859	114.6592962	112.6895774	82.22847065	120.5118023	118.5128588	1.998943473	2.067291687	-0.068348214	0.316121732	647	4
4/23/2019	MSFT	125.5800018	123.8300018	125.4400024	24025500	118.778334	112.4981668	110.5040001	118.778334	112.4981668	110.5040001	118.778334	112.4981668	110.5040001	118.4171909	115.012762	112.9698065	84.23027197	121.2699869	119.0259806	2.244006363	2.102634622	0.141371741	1.357466287	1236	4
4/24/2019	MSFT	125.8499985	124.5199966	125.0100021	31257000	119.1580007	112.8898335	110.674889	119.1580007	112.8898335	110.674889	119.1580007	112.8898335	110.674889	118.8425335	115.3405403	113.2344262	79.92872592	121.8453739	119.4692414	2.376132462	2.15733419	0.218798272	-0.342793604	417	4
4/24/2019	MSFT	125.8499985	124.5199966	125.0100021	31257000	119.5376673	113.4045002	110.845778	119.5376673	113.4045002	110.845778	119.5376673	113.4045002	110.845778	119.2404347	115.6575719	113.49323	86.17156064	122.3322398	119.8796681	2.452571629	2.216381678	0.236189951	-0.342793604	301	4
4/25/2019	MSFT	131.3699951	128.8300018	129.1499939	38033900	120.0260005	113.8810001	111.126889	120.0260005	113.8810001	111.126889	120.0260005	113.8810001	111.126889	119.8797611	116.0999464	113.8373347	90.96232547	123.381125	120.5663589	2.814766083	2.336058559	0.478707524	3.311728413	299	2
4/25/2019	MSFT	131.3699951	128.8300018	129.1499939	38033900	120.5143336	114.3406667	111.3751112	120.5143336	114.3406667	111.3751112	120.5143336	114.3406667	111.3751112	120.4778407	116.5278168	114.1738767	90.54288963	124.2686433	121.2021837	3.066459561	2.482138759	0.584320801	3.311728413	260	2
